Nr.,VBB-Name,GKZ,lon,lat,GK4-X,GK4-Y
9045154,Görresstr.,Berlin,13.324874,52.475670,4590123,5816656
9130515,Görschstr.,Berlin,13.401652,52.565637,4595145,5826765
9096193,Göschenplatz/S Wittenau,Berlin,13.332560,52.597405,4590395,5830211
9184501,Gosener Kanal,Berlin,13.700124,52.403893,4615806,5809204
9001155,Goslarer Platz,Berlin,13.314256,52.525793,4589300,5822220
9039160,Gößweinsteiner Gang,Berlin,13.132076,52.450802,4577067,5813666
9032353,Götelstr.,Berlin,13.202804,52.523744,4581740,5821860
9210106,Gothaer Str.,Falkensee,13.065778,52.563297,4572375,5826115
9175534,Gothaer Str./Alte Hellersdorfer Str.,Berlin,13.590756,52.541532,4608026,5824349
9175536,Gothaer Str./Eisenacher Str.,Berlin,13.588895,52.538574,4607907,5824017
9160523,Gotlindestr.,Berlin,13.499392,52.518118,4601882,5821611
9150502,Gottfriedstr.,Berlin,13.521131,52.553736,4603274,5825605
9085103,Gotthardstr./Holländerstr.,Berlin,13.334862,52.564873,4590618,5826594
9085102,Gotthardstr./Teichstr.,Berlin,13.347199,52.567025,4591450,5826849
9060105,Göttinger Str.,Berlin,13.346306,52.460329,4591611,5814976
9150522,Gounodstr.,Berlin,13.467178,52.548369,4599627,5824932
9131528,Grabbeallee/Pastor-Niemöller-Platz,Berlin,13.398314,52.578933,4594890,5828240
9171536,Grabensprung,Berlin,13.555428,52.497892,4605734,5819441
9064353,Grabenstr.,Berlin,13.326490,52.421261,4590344,5810604
9070159,Gradestr. 71,Berlin,13.428692,52.452334,4597228,5814194
9070158,Gradestr. 91,Berlin,13.423071,52.452285,4596846,5814181
9080101,Gradestr./Tempelhofer Weg,Berlin,13.433108,52.452442,4597528,5814212
9016252,Graefestr.,Berlin,13.416148,52.490969,4596291,5818476
9085253,Granatenstr.,Berlin,13.379207,52.569010,4593616,5827111
9130508,Granitzstr./Neumannstr.,Berlin,13.419008,52.569214,4596314,5827186
9310515,Grätzwalde,Schöneiche (bei Berlin),13.712835,52.474389,4616485,5817068
9081152,Grauwackeweg,Berlin,13.406815,52.415811,4595820,5810101
9060106,Grazer Platz,Berlin,13.347494,52.466939,4591678,5815713
9060103,Grazer Platz/Beckerstr.,Berlin,13.344428,52.466768,4591470,5815690
9039157,Gredinger Str.,Berlin,13.133723,52.461642,4577160,5814874
9220028,Green Park,Stahnsdorf,13.242335,52.383710,4584691,5806324
9162509,Gregoroviusweg,Berlin,13.526937,52.493760,4603809,5818940
9110020,Greifswalder Str./Danziger Str.,Berlin,13.433063,52.536151,4597340,5823526
9110016,Greifswalder Str./Ostseestr.,Berlin,13.444615,52.545474,4598103,5824579
9071153,Greinerstr.,Berlin,13.372099,52.436684,4593414,5812378
9077107,Grenzallee/Bergiusstr.,Berlin,13.456229,52.465686,4599070,5815717
9150516,Grenzgrabenstr.,Berlin,13.520711,52.544584,4603267,5824586
9074269,Grenzweg Ost,Berlin,13.391376,52.394163,4594816,5807672
9151008,Grevesmühlener Str.,Berlin,13.514010,52.567875,4602758,5827168
9040153,Grieser Platz,Berlin,13.293044,52.490887,4587930,5818310
9027303,Griesingerstr.,Berlin,13.153292,52.562881,4578310,5826160
9027371,Griesingerstr. 13-23,Berlin,13.152218,52.561274,4578240,5825980
9027307,Griesingerstr./Stadtrandstr.,Berlin,13.157158,52.560174,4578577,5825863
9039151,Grimmelshausenstr.,Berlin,13.128689,52.452946,4576833,5813901
9074105,Grimmstr.,Berlin,13.406646,52.398512,4595846,5808176
9085155,Grindelwaldweg,Berlin,13.352722,52.564373,4591830,5826561
9062101,Gritznerstr.,Berlin,13.316499,52.464323,4589577,5815383
9072181,Großbeerenstr./Daimlerstr.,Berlin,13.375644,52.425875,4593678,5811180
9194010,Groß-Berliner Damm Mitte,Berlin,13.525813,52.438754,4603862,5812818
9184507,Große Krampe,Berlin,13.655462,52.390830,4612800,5807680
9140003,Große Seestr.,Berlin,13.459584,52.557208,4599092,5825905
9047156,Große Steinlanke,Berlin,13.189801,52.454773,4580984,5814171
9150530,Große-Leege-Str./Freienwalder Str.,Berlin,13.496426,52.542700,4601624,5824342
9083262,Großenhainer Weg,Berlin,13.481173,52.416655,4600877,5810296
9004101,Großer Stern,Berlin,13.350177,52.515143,4591760,5821080
9052154,Großes Fenster,Berlin,13.193114,52.451073,4581216,5813763
9175521,Grottkauer Str.,Berlin,13.606450,52.527264,4609126,5822785
9131002,Grumbkowstr.,Berlin,13.419742,52.591008,4596316,5829612
9131524,Grumbkowstr./Pankower Str.,Berlin,13.424461,52.584552,4596650,5828900
9120014,Grünberger Str./Warschauer Str.,Berlin,13.452397,52.512405,4598705,5820910
9171534,Grüne Aue,Berlin,13.573699,52.505209,4606957,5820282
9220024,Grüner Weg,Stahnsdorf,13.224828,52.391154,4583485,5807132
9080455,Grüner Weg/Gutschmidtstr.,Berlin,13.451373,52.437040,4598804,5812523
9054192,Grunewaldstr.,Berlin,13.345006,52.489085,4591463,5818174
9062251,Grunewaldstr./Lepsiusstr.,Berlin,13.315613,52.458788,4589528,5814766
9047153,Grunewaldturm,Berlin,13.197848,52.478598,4581487,5816831
9183506,Grünheider Weg,Berlin,13.698815,52.435980,4615633,5812772
9031153,Grünhofer Weg,Berlin,13.188208,52.534316,4580730,5823020
9070455,Grünsteinweg,Berlin,13.409106,52.426362,4595953,5811278
9007160,Grüntaler Str.,Berlin,13.390796,52.555358,4594431,5825607
9120543,Gubener Str.,Berlin,13.446841,52.515888,4598320,5821290
9022251,Guerickestr.,Berlin,13.317441,52.517508,4589533,5821302
9175532,Gülzower Str.,Berlin,13.595298,52.518400,4608391,5821782
9160525,Guntherstr.,Berlin,13.502298,52.513489,4602090,5821100
9350261,Guntherstr.,Bernau,13.613761,52.674234,4609256,5839149
9043103,Güntzelstr./Uhlandstr.,Berlin,13.323246,52.491542,4589980,5818420
9133502,Gurkensteig,Berlin,13.380763,52.633511,4593584,5834290
9140501,Gustav-Adolf-Str./Amalienstr.,Berlin,13.448905,52.559792,4598362,5826178
9140017,Gustav-Adolf-Str./Langhansstr.,Berlin,13.434752,52.553593,4597416,5825469
9160502,Gustav-Holzmann-Str.,Berlin,13.490649,52.493127,4601346,5818818
